proj,instances,group,Z1,Z2,Best,pred_svm,prob_svm_LKCC,prob_svm_CLK
SPLS,random_025,train,-0.045830853065032595,0.44474960999107216,LKCC,LKCC,0.76184,0.23816
SPLS,LKCChard_086,train,0.11488754262504315,-0.08037515548463335,CLK,LKCC,0.94291,0.05709
SPLS,LKCCeasy_020,train,0.7718940487606286,-0.31570621291932455,LKCC,LKCC,0.92652,0.07348
SPLS,LKCCeasy_028,train,-1.1627014908499316,0.38887370010834227,LKCC,LKCC,0.98046,0.01954
SPLS,LKCChard_002,train,0.3627436873831392,1.3761462046406892,CLK,CLK,0.08559,0.91441
SPLS,LKCChard_170,train,0.5956191619720639,0.8400212245439207,CLK,CLK,0.04383,0.95617
SPLS,CLKhard_103,train,1.728660364366331,0.2811043723172679,LKCC,LKCC,0.93215,0.06785
SPLS,CLKeasy_050,train,-2.499479983142556,-0.48553164644632907,LKCC,LKCC,0.93311,0.06689
SPLS,CLKeasy_165,train,-2.0530990518676564,-0.19222975630562805,LKCC,LKCC,0.92674,0.07326
SPLS,CLKeasy_068,train,-2.1812723504684475,-0.26658837771215765,LKCC,LKCC,0.92847,0.07153
SPLS,LKCCeasy_104,train,-0.1180594256957263,0.3941798669789091,LKCC,LKCC,0.84795,0.15205
SPLS,CLKeasy_072,train,-2.5670963118645993,-0.5213372149283516,LKCC,LKCC,0.93309,0.06691
SPLS,CLKeasy_188,train,-1.8086067723849082,-0.0364321592085054,LKCC,LKCC,0.93108,0.06892
SPLS,LKCChard_097,train,1.5362718847886858,0.1925464140893386,CLK,LKCC,0.91425,0.08575
SPLS,CLKhard_098,train,2.2974398981809476,-0.5998168713052814,LKCC,LKCC,0.94843,0.05157
SPLS,LKCCeasy_108,train,-0.419769634816163,0.21754697108935142,LKCC,LKCC,0.95749,0.04251
SPLS,CLKhard_119,train,2.0584227460476097,-0.7710061102671821,LKCC,LKCC,0.93948,0.06052
SPLS,random_133,train,-0.1934859730768943,1.025160357196088,LKCC,CLK,0.44212,0.55788
