proj,instances,group,Z1,Z2,Best,pred_da,prob_da_CLK,prob_da_LKCC
MDA_s,random_025,train,-42.105966705307445,-2.997086433374338,LKCC,CLK,0.55533,0.44467
MDA_s,LKCChard_086,train,-41.622530405241356,-0.700369893070421,CLK,LKCC,0.06063,0.93937
MDA_s,LKCCeasy_020,train,63.05878724599133,0.5637929416259101,LKCC,LKCC,0,1
MDA_s,LKCCeasy_028,train,62.89016990184464,0.24097295902112245,LKCC,LKCC,0,1
MDA_s,LKCChard_002,train,-45.08601542250796,-2.686136197901054,CLK,CLK,0.9458,0.0542
MDA_s,LKCChard_170,train,-44.24852023400633,-3.4836361081248923,CLK,CLK,0.94277,0.05723
MDA_s,CLKhard_103,train,-42.16318866619883,-1.5544143700612734,LKCC,LKCC,0.19771,0.80229
MDA_s,CLKeasy_050,train,63.29972788517726,-0.035912054899683216,LKCC,LKCC,0,1
MDA_s,CLKeasy_165,train,62.686913212350724,-0.02974856050636079,LKCC,LKCC,0,1
MDA_s,CLKeasy_068,train,63.321792140481556,-0.05904686342053101,LKCC,LKCC,0,1
MDA_s,LKCCeasy_104,train,63.28010441672473,-1.510387189750976,LKCC,LKCC,0,1
MDA_s,CLKeasy_072,train,62.919052141081245,-0.23627380824701263,LKCC,LKCC,0,1
MDA_s,CLKeasy_188,train,63.08023468999392,0.17827197278529122,LKCC,LKCC,0,1
MDA_s,LKCChard_097,train,-43.42464534656074,-2.359822738812381,CLK,CLK,0.6476,0.3524
MDA_s,CLKhard_098,train,-42.83081992274415,7.966079511662763,LKCC,LKCC,0,1
MDA_s,LKCCeasy_108,train,61.90490642647826,0.542287377957623,LKCC,LKCC,0,1
MDA_s,CLKhard_119,train,-42.95763309330151,7.789600877038221,LKCC,LKCC,0,1
MDA_s,random_133,train,-43.73930702334545,-1.7386241331275105,LKCC,CLK,0.55114,0.44886
MDA_s,CLKeasy_144,train,62.160716547481115,-0.06581884844414661,LKCC,LKCC,0,1
MDA_s,LKCCeasy_162,train,63.42158648997196,-1.1401964375512126,LKCC,LKCC,0,1
MDA_s,CLKeasy_146,train,62.30053704053681,-0.239658354831606,LKCC,LKCC,0,1
MDA_s,LKCChard_066,train,-42.24079995928115,-3.3623277885475744,CLK,CLK,0.67745,0.32255
MDA_s,CLKhard_109,train,-43.142300287627705,7.9564661124100216,LKCC,LKCC,0,1
MDA_s,random_109,train,-44.184746642711545,-0.9008966829481582,LKCC,LKCC,0.42766,0.57234
MDA_s,random_130,train,-42.88009217387266,-0.9267943324284804,LKCC,LKCC,0.17346,0.82654
MDA_s,CLKeasy_102,train,62.09542847439963,-0.23161095647421456,LKCC,LKCC,0,1
MDA_s,CLKhard_173,train,-40.86920914426208,0.042660367714264937,LKCC,LKCC,0.01783,0.98217
MDA_s,LKCChard_040,train,-43.47738733835932,-0.6419722313301928,CLK,LKCC,0.20771,0.79229
MDA_s,random_099,train,-40.946671034035305,-1.049540097361391,LKCC,LKCC,0.0619,0.9381
MDA_s,LKCChard_025,train,-43.752410695692554,-3.168807886269602,CLK,CLK,0.8685,0.1315
MDA_s,LKCChard_165,train,-44.320505770010406,-1.9741104757132586,CLK,CLK,0.7534,0.2466
MDA_s,LKCCeasy_134,train,62.12866203897207,-0.285690862067008,LKCC,LKCC,0,1
MDA_s,random_012,train,-43.168409863892926,-1.6128195046632514,LKCC,LKCC,0.37599,0.62401
MDA_s,CLKhard_061,train,-42.54470851725089,-1.978324536216086,LKCC,LKCC,0.34917,0.65083
MDA_s,LKCChard_093,train,-43.85446057884853,-1.3736268106437413,CLK,LKCC,0.47525,0.52475
MDA_s,LKCChard_031,train,-41.985908076250404,-1.3747145315705043,CLK,LKCC,0.15044,0.84956
MDA_s,CLKhard_086,train,-41.5847836008857,0.09947548516498887,LKCC,LKCC,0.02455,0.97545
MDA_s,CLKeasy_110,train,62.93819121977267,-0.09598861834036779,LKCC,LKCC,0,1
MDA_s,CLKeasy_145,train,62.351405989513545,-0.18042868634510495,LKCC,LKCC,0,1
MDA_s,LKCChard_017,train,-44.12983284188637,-1.8222432460061604,CLK,CLK,0.67361,0.32639
MDA_s,CLKeasy_160,train,63.01571287371499,0.09128462861417361,LKCC,LKCC,0,1
MDA_s,CLKhard_091,train,-44.822341434935495,5.638266456210564,LKCC,LKCC,0,1
MDA_s,LKCCeasy_106,train,63.721425479175764,-0.18441415615128479,LKCC,LKCC,0,1
MDA_s,CLKeasy_037,train,62.96984366207682,0.3248701623790209,LKCC,LKCC,0,1
MDA_s,random_113,train,-42.236606296250244,-0.08965199717378483,LKCC,LKCC,0.04578,0.95422
MDA_s,random_100,train,-41.167400857199084,-0.8258521712063585,LKCC,LKCC,0.05428,0.94572
MDA_s,CLKhard_084,train,-41.79429214895266,-0.6659100965820216,LKCC,LKCC,0.06459,0.93541
MDA_s,random_186,train,-42.424164476524496,-1.2530523434120884,LKCC,LKCC,0.17433,0.82567
MDA_s,CLKhard_143,train,-41.50095924681345,6.212974248903589,LKCC,LKCC,0,1
MDA_s,CLKeasy_171,train,61.86719149589279,-0.5135182379142668,LKCC,LKCC,0,1
MDA_s,random_115,train,-44.285245540371186,-0.7973102768710921,LKCC,LKCC,0.42558,0.57442
MDA_s,LKCCeasy_003,train,63.76136483924709,0.20569328547291785,LKCC,LKCC,0,1
